merged_commit_sha,base_sha,date,merge_or_rebase
1d57d5427c87ab92ffa3ca4b82429cd7509796ba,d1914faf9f5d4b5bdbb550ad614ca2e61a47e148,2017-03-09 09:59:51,merge
d1914faf9f5d4b5bdbb550ad614ca2e61a47e148,2751b07d9264bad996a3b8c0d19a7b3df704c9fa,2017-02-25 21:35:46,merge
2751b07d9264bad996a3b8c0d19a7b3df704c9fa,855b75391c5e1304d5f012e3502b135a676651e5,2017-02-24 03:57:47,merge
855b75391c5e1304d5f012e3502b135a676651e5,b4f2ff8867a05158727bbd58e7c56b3fe0b009e7,2016-11-02 21:33:20,merge
b4f2ff8867a05158727bbd58e7c56b3fe0b009e7,9ab152847aa4400bf9a5fc116b61c95416f2acba,2016-07-22 20:56:48,merge
9ab152847aa4400bf9a5fc116b61c95416f2acba,c88b89681487b50764967875c3071daa125802c9,2016-07-20 23:25:55,merge
c88b89681487b50764967875c3071daa125802c9,949a993644eb7a0d858306db009154ce5ac25017,2016-07-19 17:35:55,merge
5af92e67efe14af15cfcb05e9b673a2a216a4d45,949a993644eb7a0d858306db009154ce5ac25017,2016-07-19 17:35:44,merge
9e719a6eaab3972a46bb069363d855f68632a595,c924d3c7b652cee1ce571c5e15e811b8b5fed219,2016-07-01 12:14:50,merge
949a993644eb7a0d858306db009154ce5ac25017,c924d3c7b652cee1ce571c5e15e811b8b5fed219,2016-07-17 19:14:40,merge
c924d3c7b652cee1ce571c5e15e811b8b5fed219,5c92bdb68373116bb5ca0aff229d00949b59414d,2016-06-09 00:12:46,merge
5c92bdb68373116bb5ca0aff229d00949b59414d,74dfc0ae4711867d8b91b3239ba11b237b7a40af,2016-05-13 02:15:04,merge
74dfc0ae4711867d8b91b3239ba11b237b7a40af,563a5529a8b042b63e7cd7d2d6f7bdf6275e9c8b,2016-05-12 04:27:34,merge
d37c9322304374a39e80a0b123e85078fdebcbae,563a5529a8b042b63e7cd7d2d6f7bdf6275e9c8b,2016-07-17 19:14:14,merge
563a5529a8b042b63e7cd7d2d6f7bdf6275e9c8b,9bf1ba0743b03305260cdb175e395f9a1e7afb63,2016-05-09 21:17:55,merge
8990192e294c416ccfb32afe32fd61b03a6d3c98,9bf1ba0743b03305260cdb175e395f9a1e7afb63,2016-05-09 21:17:40,merge
4fd4c29392507b7470a3a268bf3fa901c7f773b8,9bf1ba0743b03305260cdb175e395f9a1e7afb63,2016-05-09 21:17:27,merge
