merged_commit_sha,base_sha,date,merge_or_rebase
8fec04d621849cd7d8152585ba1f78791a386041,67dbe416568215d544582ba8f7f6bb6ee8922f7a,2019-08-23 12:57:46,merge
05270cf88cd81b8263a4c77c8eb949cf2d303419,67dbe416568215d544582ba8f7f6bb6ee8922f7a,,merge
67dbe416568215d544582ba8f7f6bb6ee8922f7a,9bfac31d43976dda9f28c9350bb73878e04bd839,2018-09-22 08:47:26,merge
9bfac31d43976dda9f28c9350bb73878e04bd839,cf048d3fdbd40556e050d8693fcc780fd4bc391e,2018-08-07 11:40:50,merge
cf048d3fdbd40556e050d8693fcc780fd4bc391e,fa791321d1921f0feef2f35ae0418bab0a662436,2018-07-07 03:59:17,merge
fa791321d1921f0feef2f35ae0418bab0a662436,a6c6bf3ded5fe8aefe8bd5baf744b1cfb6b161a0,2018-06-21 13:33:28,merge
a6c6bf3ded5fe8aefe8bd5baf744b1cfb6b161a0,0d1ec53a3c9f057d3c51bd5a8194d5955ba89cfc,2018-06-20 00:11:33,merge
0d1ec53a3c9f057d3c51bd5a8194d5955ba89cfc,6860ee748114f8a1e085dbdeea38a5e174053195,2018-06-18 16:00:47,merge
6860ee748114f8a1e085dbdeea38a5e174053195,fae4f128d08d4931f8c6857445625e8b7b2f74c5,2018-06-01 04:55:16,merge
fae4f128d08d4931f8c6857445625e8b7b2f74c5,dae5f340111f72bc29b01328bf98469ecdade817,2018-05-30 21:07:44,merge
dae5f340111f72bc29b01328bf98469ecdade817,66dac18c2fe5b526dec840bc7a149aea4edd1e7c,2018-03-10 22:29:04,merge
66dac18c2fe5b526dec840bc7a149aea4edd1e7c,9643d0b2a552edafdcc3c683ff915551a85d1a81,2018-03-05 03:09:00,merge
86e6944b34288bbeeca55d3b9cb1f3efd8c855b5,cfecb68f91af48baeeb050c96d3b6de78cfe1b9d,2018-02-14 23:58:24,merge
6ccaa16e803a2d460203605a65bf4b37b1e4a64b,cfecb68f91af48baeeb050c96d3b6de78cfe1b9d,2018-02-14 23:58:06,merge
9643d0b2a552edafdcc3c683ff915551a85d1a81,cfecb68f91af48baeeb050c96d3b6de78cfe1b9d,2018-02-15 00:15:46,merge
2d302b63044f0db61a3092fe01b4e420a048565c,cfecb68f91af48baeeb050c96d3b6de78cfe1b9d,2018-02-15 00:02:51,merge
f7cb7ee5a31d53c4c4fe29f52f63035b2dfba045,cfecb68f91af48baeeb050c96d3b6de78cfe1b9d,2018-02-15 00:03:23,merge
e4731b4f9666886516522b0b50c6079c5e614618,cfecb68f91af48baeeb050c96d3b6de78cfe1b9d,2018-02-15 00:03:42,merge
db0893fceddb1b5a97b2e2c03f092a846addc9aa,cfecb68f91af48baeeb050c96d3b6de78cfe1b9d,2018-02-15 00:04:08,merge
aa2b01a7d8eb77786a9017a3b6cc65ec402a2776,cfecb68f91af48baeeb050c96d3b6de78cfe1b9d,2018-02-15 00:04:28,merge
3e115fabfd25cd14bb323dfcd1d83a02866dab7c,f68deceab5ba860b537a9d17617dc611d1c0563d,2018-02-12 19:01:15,merge
82e5823b07bf5a4d3157cf3ff1fa3f3fa13152cb,f68deceab5ba860b537a9d17617dc611d1c0563d,2018-02-12 19:00:40,merge
cfecb68f91af48baeeb050c96d3b6de78cfe1b9d,f68deceab5ba860b537a9d17617dc611d1c0563d,2018-02-12 19:02:33,merge
a52cb6e2e0541f9eec51b8ec493ff5eca3acc5ff,f68deceab5ba860b537a9d17617dc611d1c0563d,2018-02-12 18:59:49,merge
e4759cc02356941a1a965713a452ff0ca366a4a3,f68deceab5ba860b537a9d17617dc611d1c0563d,2018-02-12 18:58:45,merge
d7a5ea2f6891c5d72d2c060fc057be816e20847d,f68deceab5ba860b537a9d17617dc611d1c0563d,2018-02-12 18:57:32,merge
2ad7d972c77b6a7cb825e0f3e034887222760737,ba2c9d95f9f9a01025a23e46dcd1077a76a200a7,2018-02-15 00:04:52,merge
f68deceab5ba860b537a9d17617dc611d1c0563d,ba2c9d95f9f9a01025a23e46dcd1077a76a200a7,2018-02-12 04:39:01,merge
ba2c9d95f9f9a01025a23e46dcd1077a76a200a7,070e877d7fdef9f3c7a4ad2719879f1cdcce2dbd,2018-01-30 19:15:17,merge
070e877d7fdef9f3c7a4ad2719879f1cdcce2dbd,6b66408a0e6d509b6967cce17659a52234efe2f9,2018-01-26 16:48:56,merge
0d88b0ad47248b26bcbec7f0a5f68273e4a0ff7a,ffcccafbaebb84fff373c306f6c239b5654ef427,2018-01-24 00:24:26,merge
6b66408a0e6d509b6967cce17659a52234efe2f9,ffcccafbaebb84fff373c306f6c239b5654ef427,2018-01-24 00:24:57,merge
ffcccafbaebb84fff373c306f6c239b5654ef427,221cc60233fa6d8927ca3666215443d3c4c72519,2018-01-21 15:52:13,merge
221cc60233fa6d8927ca3666215443d3c4c72519,c45181c4b8d9951cf5379c93300dc6b8d1ee5a1b,2018-01-17 17:11:49,merge
c45181c4b8d9951cf5379c93300dc6b8d1ee5a1b,f17e4d96549317f4f29361b34e9626a7c5b1a764,2018-01-06 06:00:12,merge
f17e4d96549317f4f29361b34e9626a7c5b1a764,cb2029f6ed02f515363ad1d8ee4d0a80987689cf,2017-12-03 21:51:50,merge
cb2029f6ed02f515363ad1d8ee4d0a80987689cf,0544592dea2f36fddec98d2f66c95a18b306fa7a,2017-12-02 00:08:37,merge
0544592dea2f36fddec98d2f66c95a18b306fa7a,c5d5c469c091e42ec52d38c0848b324c8ff0c11a,2017-10-13 17:38:58,merge
c5d5c469c091e42ec52d38c0848b324c8ff0c11a,a4aaf7c7060885dbbe0c22119e3f68263a2ba56e,2017-09-14 19:46:53,merge
a4aaf7c7060885dbbe0c22119e3f68263a2ba56e,a41d331308ff029becd48ad1d58fd2e22b05cb9a,2017-09-10 23:32:48,merge
a41d331308ff029becd48ad1d58fd2e22b05cb9a,b8a18fc199758ed09cd2f199a9bc821f6821072a,2017-09-08 00:20:22,merge
b8a18fc199758ed09cd2f199a9bc821f6821072a,5fffec7cbe9679632ff793befacedd92f79d7f0f,2017-08-11 18:47:19,merge
5fffec7cbe9679632ff793befacedd92f79d7f0f,0962dec7801c7be6df3665c1f9aad91a7783d332,2017-04-03 04:35:42,merge
b800ba20e938ad19a4bb95d32c64661528ec760e,0962dec7801c7be6df3665c1f9aad91a7783d332,,merge
0962dec7801c7be6df3665c1f9aad91a7783d332,fa6a498cf62f9006c5e2335e0900556aabbc6555,2017-03-17 00:44:18,merge
0bd66fa1a1af8488b20ecd020a9ac1f838cf6cbd,fa6a498cf62f9006c5e2335e0900556aabbc6555,,merge
fa6a498cf62f9006c5e2335e0900556aabbc6555,22bfaac6bd0c7d9505a780e08e6b1dfa0a90b9ad,2017-03-01 17:00:53,merge
22bfaac6bd0c7d9505a780e08e6b1dfa0a90b9ad,58d7a69d33d1e260eb10b759b37726e5e02f90f3,2017-02-28 20:37:48,merge
58d7a69d33d1e260eb10b759b37726e5e02f90f3,0fe8380fd6c82d3ffd368daa1be7b0994e2580b3,2017-02-09 18:21:21,merge
0fe8380fd6c82d3ffd368daa1be7b0994e2580b3,7768c11afe01fa9294c85c86648d8738b5ef4c54,2017-02-09 05:12:04,merge
ee21b6b7345de5a5cf8e473b8f204f6f0d08e32b,7be76643f02de0d360b3941e5f1e8ea121384088,2017-02-08 17:54:36,merge
7768c11afe01fa9294c85c86648d8738b5ef4c54,7be76643f02de0d360b3941e5f1e8ea121384088,2017-02-08 17:55:00,merge
