merged_commit_sha,base_sha,date,merge_or_rebase
fd0ee3bbf7bfdd21ab10c5ee70b74afaef9409e1,89ede3ba90c906a8ec6b9a0f4bef188ba5bb2fd8,2018-07-02 23:25:12,rebase
7eeb79138679c8701d916e4975507beb341927c7,fbcabfa0cd8ca83589f88079bc1821ec4ce2051f,,merge
aed31711c6b8846b8337a263a7f9f998697994e7,1aba9998f11c9ecdab79925c3706cf92e9be3d7d,2017-07-20 14:56:10,rebase
ada30dad41f5a72c128514af0a4a67e8f565e40a,e17f93ae8976a611cbda9f619ed129614e1c443d,2017-07-12 15:36:22,rebase
e17f93ae8976a611cbda9f619ed129614e1c443d,9d30c3a5a39ead4721bdeb902564c3df7356d270,2017-07-11 17:22:36,rebase
1957c1fba434e3cd2543fc0584c6ed474a9ce064,0b4942e8ed6be0252447ddba58a9f978017b8c68,2017-05-11 17:50:39,merge
315af56cd2943515cc6241b1cc3964fb8ab3db69,0b4942e8ed6be0252447ddba58a9f978017b8c68,,merge
0b4942e8ed6be0252447ddba58a9f978017b8c68,c5e5487075fa7c9bafcbdc9d52e114aedb2bdac3,2017-05-09 21:44:36,rebase
ae1a805b370b25fb99703e3c3eccfb7dee97ccd7,956e9565b7ffafb63077f91139530e100d6eb1a1,2017-05-12 01:57:35,rebase
870a99f06dd236b607347b77ed8a077c5ca2275e,e8c556d35c97029531c0d1449fcf418728f835e3,2017-04-28 22:33:08,rebase
16fe08e2d341a7661812a2ad00e8ce5f9ec0a2a3,ecd329bdd07ddcc0d70c347ee87561710e2dd4c0,2017-04-26 23:11:57,rebase
300058cefe7dd8cf44d038d7c3e57f377cfa15b1,7c26baf41b3e29d6b99473300d07cace1d34a764,,merge
7c26baf41b3e29d6b99473300d07cace1d34a764,d0c51fc6975233c517b978e5f277cc653f1ce22b,2017-04-21 14:04:38,rebase
35b344163572965811f9242d1964d40461f31d28,bc5ae21def2d2b20c4ddb929ae128fd6153eb35d,2017-04-12 19:07:16,rebase
a9174b52f2975e5766d3ff9a6f111a2cffa40054,7d9217cf9e3fec74fe154b71dfb7a688c9201f45,2017-04-10 15:03:22,rebase
bbf0640789e72bd22ae19ce2f6f78567753b8cd8,0166825c8f7a0217e02bd664d0a1e698d7229003,2017-04-05 01:51:12,rebase
0166825c8f7a0217e02bd664d0a1e698d7229003,82fb7ea6a48c950368d9a2ac111cb51f2ad01e06,2017-04-02 17:32:57,merge
82fb7ea6a48c950368d9a2ac111cb51f2ad01e06,314e376336e0cf75d120c0881528c91758451ca3,2017-03-31 18:41:04,merge
314e376336e0cf75d120c0881528c91758451ca3,dad316fb3617b8d1299a585ad804ab13b48ffb50,2017-03-26 17:41:33,merge
dad316fb3617b8d1299a585ad804ab13b48ffb50,9c471e8b0c0f0cddf81ee0a0d27abdbbfa5f3802,2017-03-24 18:44:36,merge
ca19337d4fc528e96d533fe755f349111f5240da,bdd742383f82f8c6d7388d77a6d6b6b338a32c56,2017-04-03 22:02:15,rebase
bdd742383f82f8c6d7388d77a6d6b6b338a32c56,329dff5dc1ae5b90d6fc7a5d0f2f7c32403c6530,2017-03-22 20:49:45,merge
