merged_commit_sha,base_sha,date,merge_or_rebase
341a388c4fdd85d3010816fb19251f29e8ac1c93,5d9006820fca083afb8462037e417e7f57df3223,,merge
fd03239c41435a5b4c67f2bb81107a9b032b1b82,5d9006820fca083afb8462037e417e7f57df3223,,merge
e4deca1a1d7b5c4ac35b94f1d4f6aabf83f23512,5d9006820fca083afb8462037e417e7f57df3223,,merge
96c3f95439748453bf95924f4cf2c58db7cf1db5,07b2496c9fb9f8f3bfe631e28cbca13c9f0c797e,,merge
db4795229d2f6895ca2b951aaba20b38b746d18c,07b2496c9fb9f8f3bfe631e28cbca13c9f0c797e,,merge
9c2c71960c30e6e0b490ed6f1d19782206b579aa,a78bdfefa0557e023251ae059eaad8defe71941a,2017-06-14 20:19:32,merge
35270f1e4fd9002d2259cffb26a597fa7e86b19e,99cd5379f550fe820f27839688b77e045974fcb8,,merge
56ea3cc87647eef4426e689d6e323437d1175e39,308ffc5928e13c5168ffc9057cce53fc8dd0212c,2017-06-06 23:47:17,merge
9eaa4ec1340fb67221eec51da970958b962996b3,819d7f820a95781b072976488f1022282198c11c,2017-05-24 03:58:42,merge
07e21d45df6090af45f9b60d96c6ef8203eb7e6a,b7b337e71adaff1536cd7c0f0be71578913f1d5a,2017-05-23 02:50:16,merge
819d7f820a95781b072976488f1022282198c11c,a69067aa6365fb0c04a425746387cf09f6533620,2017-05-23 01:29:03,merge
b7b337e71adaff1536cd7c0f0be71578913f1d5a,249db0423d67f6cc083e79e04022bd7875684f34,2017-05-23 00:13:19,merge
6496627740d048a7fddab121972069ca02859803,64d51577b9aadf0579b8a9114ee66d8daf010415,,merge
c969f7971922b7c6542a0003f06961394d91adba,64d51577b9aadf0579b8a9114ee66d8daf010415,,merge
e0f541b9ec0220a94e8a449b831c6bfbbc16f7a8,dcfbb3aaf0273b4e6392d1a00eb9086431c7cb88,,merge
6b91f03fee338a2b603e7d5c88aa73cb99413fed,dcfbb3aaf0273b4e6392d1a00eb9086431c7cb88,,merge
64d51577b9aadf0579b8a9114ee66d8daf010415,dcfbb3aaf0273b4e6392d1a00eb9086431c7cb88,2017-02-15 18:37:09,merge
dcfbb3aaf0273b4e6392d1a00eb9086431c7cb88,c64a78309458631b230219de1d837973db738fe7,2017-01-18 00:23:06,merge
6be7aedbd0aa1289d2f3143bd54612629cd6bde6,d98e8a02167a5ba4a5b1432c0ebefc7ffdadeb02,,merge
ea07ab40385c34e164ee7a6322de4dff28766f92,26a1a2102e4f6cfe3adf890ad731ffc7db03c9ba,2016-12-10 20:46:49,merge
c94184357c38ee648fc80f87589b34bc754d2842,768226d7445a944ef9563691cc6add3d98475c51,2016-11-16 00:06:01,merge
768226d7445a944ef9563691cc6add3d98475c51,db16289310b2aebf3a009eb594191fbd6648c71a,2016-11-12 23:34:48,merge
db16289310b2aebf3a009eb594191fbd6648c71a,359d8646d370ff1ea0a9da4a29c47eab054e7bd0,2016-11-12 20:48:26,merge
40065c0d55dea0d7d7180549b455cbe7cb03baa8,d98e8a02167a5ba4a5b1432c0ebefc7ffdadeb02,,merge
0e00b6df0fef9c46aff52e922e3f4283b757c1fc,b729eed7edb88ba08b4cf7608f5b1dde90823446,2016-11-02 01:48:59,merge
e73943ff4c38ca930663ed77760ddc7c46a7f28a,b205da852697511c8bed419f26d776b80c1a72be,2016-10-31 19:21:02,merge
b2351e1fb7bbbb332e83c68dede40666babbf2a0,42e65332117f47adc203f696bcb8115edc840e9a,2016-10-28 00:36:18,merge
84dbc6fe03eac0a4fc3d1c72f2e075d119149d37,d52b8fcea6d8c412b77b4a70ca066a67dd427f9a,2016-10-27 04:20:41,merge
3115214c954650023e1f3e0523d4111607287d80,4aed7b6a85cc0cdc631a3f4b7b7e89a4326588ed,2016-10-27 01:45:56,merge
a33b08c7f322b73b717ecc7ea05b1cae570a1804,d98e8a02167a5ba4a5b1432c0ebefc7ffdadeb02,2016-10-20 23:27:02,merge
940d725d546209db07d195c69484bd1847f2ec55,d98e8a02167a5ba4a5b1432c0ebefc7ffdadeb02,2016-10-20 22:03:37,merge
cb3675d12ac9ec52d140ec7d55c8daa6d5f98af0,d98e8a02167a5ba4a5b1432c0ebefc7ffdadeb02,,merge
