merged_commit_sha,base_sha,date,merge_or_rebase
c9b8a66d664d6d0955f6676aa5442094332ca55d,7191a280026cefd50a09db6ba82fe180249d78b0,2018-11-04 09:22:04,rebase
7da27216e46317d6e01bae0f744ba774a76b52dc,7191a280026cefd50a09db6ba82fe180249d78b0,2018-11-04 09:21:47,rebase
7191a280026cefd50a09db6ba82fe180249d78b0,9aeebaa3e28579ef504e7c4b24b0f786c031a110,2018-07-29 12:03:05,rebase
de1ad026e329561c22e2a3035fbfe89dc7fef764,9aeebaa3e28579ef504e7c4b24b0f786c031a110,2018-11-04 09:22:36,rebase
b60693a686bcfd0d7a3c3f18a2a6680da50dd1e9,4803cffb121d21529c1717dddd2e75e3fab06ab3,2018-06-26 03:02:54,rebase
9aeebaa3e28579ef504e7c4b24b0f786c031a110,4803cffb121d21529c1717dddd2e75e3fab06ab3,2018-06-26 03:04:26,rebase
4803cffb121d21529c1717dddd2e75e3fab06ab3,67c7cf572f7b1ba86a495219adf9f2ee5059c387,2018-04-07 04:12:02,rebase
9f37bfbd6a0f10d2fd58ce71a477a91b55eb073a,67c7cf572f7b1ba86a495219adf9f2ee5059c387,2018-04-07 04:11:52,rebase
33651fe80b61eacdb972790a93c265ec43c3c85e,9fde2809cca131e3da1a7e0920ea151029301fb4,2018-02-09 05:54:09,rebase
8069a7fc64a4c2689e089bc86614a8b74594b9f4,9fde2809cca131e3da1a7e0920ea151029301fb4,,merge
eb34a8b9569d71e01f69b44f969e0c469772434f,67c7cf572f7b1ba86a495219adf9f2ee5059c387,,merge
b9272a95e57f5963fab3778e68d94c1f23942752,632f31d07ec1da79c53c64cf496bbb89e6947ca6,2017-12-15 07:51:14,rebase
632f31d07ec1da79c53c64cf496bbb89e6947ca6,60a58fa4b1c1597c71f8c613f4af686064faa39b,2017-12-15 06:37:31,rebase
71852d86727b507be1149159f196df84f7a804fb,632f31d07ec1da79c53c64cf496bbb89e6947ca6,,merge
7a64549ce01372981ff369c6b789d5d650aff5fa,d17932bb7855c03dc50fd4d1dfb8bc615da3ee9c,,merge
0a5578434db7077626afc4ab70d8e329779ae7e9,f8bc4e320e6dd58b09f3f01bd8f1489a7be9f78c,2017-10-25 03:07:46,rebase
fe6ff9462d1ac23e99a5ab1035608d0aacf073e9,7633185049c43ca3cc6afc43c8b592f0de72e949,2017-08-31 22:06:19,rebase
3adf4072b9d9dddc058d947b72cc51b2eb9ef4c3,7633185049c43ca3cc6afc43c8b592f0de72e949,2017-09-17 12:43:30,rebase
af8cd489561c34e0fcdc858a400a0ab2bab2990f,6edf9c863baa6f21024895e6fbe159dcaf18c447,2017-08-08 11:18:46,rebase
6f04642949a70bca1a4ae14e548c1fa8258d28bc,9851f82515e4d050c9f3c9f0bbd297e5b96048ad,,unknown
06872ac897cf29f8ee82a7f288ddff5d68869db7,9851f82515e4d050c9f3c9f0bbd297e5b96048ad,,merge
b532c5523d42f070deb91d9ed193dc164260e355,9851f82515e4d050c9f3c9f0bbd297e5b96048ad,2017-08-10 12:25:26,rebase
a410277b523fa10ce4ab70a6b27aa818ece41472,3e69191beb07821ad5f948986ac02ce4330d0624,,merge
169481e267eef537201f51f0c05105f53b9b7f63,3e69191beb07821ad5f948986ac02ce4330d0624,,merge
17cfb7c1d0ed492242c665e5801db326af98a305,7457304346e00c6e074c6fdc7ea8481c229eeb72,2017-07-27 02:43:53,rebase
e1869523d2c4813dfb59798871be200427281f05,f0d81ea9fb481bd1c345bc17743c683682a84466,,merge
1118d3b828e3484d508b39a3ff7de4e9f4cddbe8,4bd64431d62bc98a1ea45c00d15a3785d58ffaa5,2017-07-04 15:23:03,rebase
f0d81ea9fb481bd1c345bc17743c683682a84466,480a969cc0f127bb39be37f3c01602bc29ecb51c,2017-07-05 06:24:12,rebase
c84ea12bd9dce57d46ea11c29c0b3f8495d88e8f,480a969cc0f127bb39be37f3c01602bc29ecb51c,2017-06-22 14:03:07,rebase
4bd64431d62bc98a1ea45c00d15a3785d58ffaa5,01f72db7df7c8f60204820f0c254a92ca0b5168c,2017-07-04 14:52:40,rebase
78b2c3a31dfbc61972060a3005f14d4da029ab0e,07352186632fafd45ca31b0cbde4a541862d46fe,2017-05-19 06:23:29,rebase
aaf538903d5e52d9c236ebf1a8d1c20c37555629,1c05eb6ad0dcc6969d16c7f0eeba3b0d9ea1ecd5,2017-04-18 15:21:58,rebase
acccdc588ad028c41b90dfc5d8802b5f4a201e7b,ef70f6a108dfecb3305b8cae4dc6b8a84898109b,2017-04-18 13:21:41,rebase
56fc43a4c39e4e2250e8a4f23687b602d497e187,a262e54f239f1302544e44385a1a39e4ab6d508a,2017-03-22 03:51:04,rebase
