merged_commit_sha,base_sha,date,merge_or_rebase
a4ffcb0b2614f8dc1a516d5d2c2c4ebeadf72016,0adb05dfe7e67a589cb17ff4a511e42d04283a51,2020-09-09 05:45:21,rebase
67ec36bcd11d71a61e78528a5c917a7bc56d4ca2,edf17ea33c31daa77c675c22a7cdc7f5cc8d5182,,merge
46d4985bc50822ec356551628072d51ee107317b,edf17ea33c31daa77c675c22a7cdc7f5cc8d5182,,merge
ede6a8db56f6c2439cebf535ad18aef868319780,eacf43523a86a907574d085c51dbcd3944c02ff3,,merge
428b1fe1eec8c16d60a6fc826cc7ede3c40280c8,8d506e61c9f50a5f7e4b15591a619647c7818231,,merge
ef6cb18da37f59b8078638d38ffd1fe5e6dd79ab,8a911bbb7f07630c223d8ba51053e22c21d2c82a,2020-08-30 23:11:32,rebase
c9dfb187afc7bb03a6a8ed1cbeb72c4112a3ca2c,94f514eac678e4822a56ae8b2ea797956dff2039,2020-07-26 08:13:35,rebase
a8614d34999c889e1c8014f679de95d20eae1304,56476a9691bb061661190b183733c5d8a2c6ef4d,2020-07-01 23:58:49,rebase
b3f712076fe4892008e4f55a2fbe15581fbcd20a,7ddc714d495c70a4a31326499855f4ac98d8da55,2020-06-24 19:16:54,rebase
d30c78ce63f03615c23980713fc1ca4ceea774f9,29430d65071456949219488e342b6796fd98f530,,merge
17959e057e9f8186e91491013e4781562be61330,29430d65071456949219488e342b6796fd98f530,,merge
764b43db7223d81a18ff829586ac94ce82af47e1,cfd23d71c54d440e645e21451162a225fe55f14b,,merge
b740801ffe7a464891c74b13022b6c26435c96ee,42031495bc52d10d52733e4af9ea33a8c1257a05,2020-04-04 18:36:58,rebase
103cce44266d40e78e365db43b6c9e9635d1ed99,29430d65071456949219488e342b6796fd98f530,,merge
7485b9b3819059dfa810cb5434ebed724be87686,78ba934a5d1e8a9e493694473c7a5a687f51b75d,2020-02-10 17:39:18,rebase
4f12ebf1d9a89c03dc8eafc7097b583f35ee66d8,eefd9f53198cad7b7ba428277f50838294eb2d57,2020-06-19 15:53:26,rebase
daea5d7ca13a3659422b4dacf2193d73bab957c7,78ba934a5d1e8a9e493694473c7a5a687f51b75d,,merge
7050f07ea09756141239329fe74c5438bf8e0164,78ba934a5d1e8a9e493694473c7a5a687f51b75d,,merge
39817fa004d35a67767bfb2f787f69358f9226ee,78ba934a5d1e8a9e493694473c7a5a687f51b75d,,merge
ee6f7c33280cc69554a595e0bb9079e501ffc3c3,78ba934a5d1e8a9e493694473c7a5a687f51b75d,,merge
b1c4dbb07af737b0f4b61199f7b9d3803d232025,78ba934a5d1e8a9e493694473c7a5a687f51b75d,,merge
edf17ea33c31daa77c675c22a7cdc7f5cc8d5182,a8935cdc9cef081eb1a372ed78762db3654008c6,2020-09-02 07:26:45,rebase
915fc7e330f08dd872c9d8e2d580ce9fe533dc3c,29430d65071456949219488e342b6796fd98f530,,merge
cb1642ddd32715ed11a6e72d13ea44b4d80e993e,78ba934a5d1e8a9e493694473c7a5a687f51b75d,,merge
