repository,total_merges,total_rebases,total_unknown,total_not_merged_pull_requests
akkadotnet/akka.net,26,174,0,0
alibaba/tengine,181,17,2,1
amscanne/huptime,6,0,2,0
antirez/redis,72,128,0,3
aspnet/DNX,165,0,35,3
aspnet/Mvc,70,130,0,1
aspnet/XRE,165,0,35,3
AutoFixture/AutoFixture,84,116,0,0
AutoMapper/AutoMapper,200,0,0,0
b4winckler/macvim,37,0,8,1
Caliburn-Micro/Caliburn.Micro,68,0,9,0
cesanta/mongoose,174,0,26,3
cjdelisle/cjdns,111,88,1,0
cloudius-systems/osv,60,0,5,2
Code52/DownmarkerWPF,189,0,11,1
contiki-os/contiki,199,0,1,8
dart-lang/chromedeveditor,134,0,66,1
dotnet/orleans,9,191,0,0
elastic/elasticsearch-net,2,198,0,0
elasticsearch/elasticsearch-net,2,198,0,0
elasticsearch/logstash-forwarder,181,0,5,4
facebook-csharp-sdk/facebook-csharp-sdk,65,1,8,0
ggreer/the_silver_searcher,179,5,16,1
git/git,16,1,183,8
git-tfs/git-tfs,80,59,61,1
glfw/glfw,152,48,0,0
gsscoder/commandline,71,0,23,2
huangz1990/redis-3.0-annotated,4,0,2,0
IdentityServer/IdentityServer3,148,0,52,6
irungentoo/toxcore,129,4,67,0
jakubgarfield/Bonobo-Git-Server,65,20,115,6
JamesNK/Newtonsoft.Json,46,153,1,2
jamietre/CsQuery,20,0,4,0
jasarien/Provenance,169,31,0,0
JeremySkinner/FluentValidation,77,123,0,2
jonas/tig,71,129,0,0
JoshClose/CsvHelper,121,26,10,0
jp9000/obs-studio,199,1,0,1
jstedfast/MailKit,54,16,7,2
kanaka/mal,199,1,0,0
kevin-montrose/Jil,42,6,19,1
koral--/android-gif-drawable,58,56,6,4
krakjoe/pthreads,119,31,19,1
libgdx/libgdx,124,76,0,2
libgit2/rugged,166,1,33,0
linuxmint/Cinnamon,49,151,0,1
liuliu/ccv,26,1,2,0
loresoft/EntityFramework.Extended,29,0,11,0
lpereira/lwan,56,23,7,0
luvit/luvit,145,22,33,1
MahApps/MahApps.Metro,197,3,0,1
markrendle/Simple.Data,64,0,12,0
mikehadlow/EasyNetQ,0,0,0,0
mjolnir-io/mjolnir,65,1,14,3
mongodb/mongo-csharp-driver,190,7,3,6
mono/monodevelop,125,32,43,0
moxiecode/plupload,154,0,29,3
NancyFx/Nancy,143,57,0,1
nanomsg/nanomsg,106,74,20,0
neovim/neovim,110,90,0,1
nicolasff/webdis,23,7,8,0
NLog/NLog,36,164,0,1
nothings/stb,128,72,0,2
Octokit/octokit.net,40,160,0,1
OfficeDev/Open-XML-SDK,22,178,0,0
OfficeDev/PnP,136,64,0,0
OpenEmu/OpenEmu,106,4,90,16
openssl/openssl,195,5,0,1
pbatard/rufus,126,0,0,4
php/php-src,199,1,0,0
playgameservices/play-games-plugin-for-unity,171,0,29,6
projectkudu/kudu,56,142,2,0
Qihoo360/Atlas,10,2,0,0
quartznet/quartznet,129,61,10,4
radare/radare2,16,184,0,0
Reactive-Extensions/Rx.NET,198,2,0,0
redis/hiredis,127,72,1,0
robconery/massive,115,2,44,3
robertdavidgraham/masscan,75,0,11,0
SamyPesse/How-to-Make-a-Computer-Operating-System,32,0,22,0
schambers/fluentmigrator,196,4,0,0
scikit-learn/scikit-learn,35,165,0,1
scriptcs/scriptcs,112,19,69,1
ServiceStack/ServiceStack,138,62,0,3
shadowsocks/shadowsocks-android,141,59,0,15
shadowsocks/shadowsocks-csharp,171,29,0,11
SignalR/SignalR,91,104,5,4
SonyWWS/LevelEditor,8,0,0,0
sq/JSIL,122,0,78,0
SteamRE/SteamKit,179,21,0,0
stevedekorte/io,145,0,39,0
torch/torch7,132,29,39,3
umbraco/Umbraco-CMS,84,116,0,0
videolan/vlc,104,1,0,0
voat/voat,126,0,74,2
wandoulabs/codis,62,33,32,7
wg/wrk,65,0,0,0
WhisperSystems/Signal-iOS,72,128,0,6
XForms/Xamarin-Forms-Labs,111,0,89,6
xunit/xunit,72,127,1,2

